単語,品詞
さ,助詞-終助詞
平和,名詞-普通名詞-形状詞可能
決して,副詞
ただ,接続詞
情,名詞-普通名詞-一般
たった,副詞
一人,名詞-普通名詞-副詞可能
亭主,名詞-普通名詞-一般
やり,動詞-非自立可能
あれ,代名詞
置い,動詞-非自立可能
目,接尾辞-名詞的-一般
日没,名詞-普通名詞-一般
きっと,副詞
やろう,動詞-非自立可能
いのち,名詞-普通名詞-一般
大事,形状詞-一般
言い,動詞-一般
佳,記号-一般
き,記号-一般
縄,名詞-普通名詞-一般
急い,動詞-一般
村人,名詞-普通名詞-一般
姿,名詞-普通名詞-一般
また,接続詞
よろよろ,副詞
出し,動詞-非自立可能
神々,名詞-普通名詞-一般
呼吸,名詞-普通名詞-サ変可能
婿,名詞-普通名詞-一般
やがて,副詞
行き,動詞-非自立可能
在る,動詞-非自立可能
考え,動詞-一般
疲れ,動詞-一般
若い,形容詞-一般
名誉,名詞-普通名詞-形状詞可能
太陽,名詞-普通名詞-一般
ため,名詞-普通名詞-副詞可能
より,助詞-格助詞
掻き,動詞-一般
共,名詞-普通名詞-一般
無かっ,形容詞-非自立可能
精,名詞-普通名詞-一般
胸,名詞-普通名詞-一般
者,接尾辞-名詞的-一般
死な,動詞-一般
水,名詞-普通名詞-一般
音,名詞-普通名詞-一般
聞え,動詞-一般
希望,名詞-普通名詞-サ変可能
生れ,動詞-一般
問題,名詞-普通名詞-一般
言っ,動詞-一般
信頼,名詞-普通名詞-サ変可能
悪い,形容詞-一般
ゆく,動詞-非自立可能
やめ,動詞-一般
方,名詞-普通名詞-一般
あなた,代名詞
最後,名詞-普通名詞-一般
ら,接尾辞-名詞的-一般
激怒,名詞-普通名詞-サ変可能
必ず,副詞
邪智,名詞-普通名詞-一般
決意,名詞-普通名詞-サ変可能
暮し,動詞-一般
倍,名詞-普通名詞-助数詞可能
此の,連体詞
暮し,名詞-普通名詞-一般
衣裳,名詞-普通名詞-一般
やら,助詞-副助詞
ぶらぶら,副詞
竹馬,名詞-普通名詞-一般
訪ね,動詞-一般
日,名詞-普通名詞-副詞可能
落ち,動詞-一般
暗い,形容詞-一般
無く,形容詞-非自立可能
寂しい,形容詞-一般
若い衆,名詞-普通名詞-一般
年,名詞-普通名詞-助数詞可能
