、,補助記号-読点-*-*-*-*
ばかり,助詞-副助詞-*-*-*-*
二,名詞-数詞-*-*-*-*
まま,名詞-普通名詞-副詞可能-*-*-*
王城,名詞-普通名詞-一般-*-*-*
出,動詞-一般-*-*-下一段-ダ行-連用形-一般
しまっ,動詞-非自立可能-*-*-五段-ワア行-連用形-促音便
無い,形容詞-非自立可能-*-*-形容詞-連体形-一般
自分,名詞-普通名詞-一般-*-*-*
磔,名詞-普通名詞-一般-*-*-*
日,接尾辞-名詞的-助数詞-*-*-*
来い,動詞-非自立可能-*-*-カ行変格-命令形
ちょっと,副詞-*-*-*-*-*
兄,名詞-普通名詞-一般-*-*-*
少し,副詞-*-*-*-*-*
出来,動詞-非自立可能-*-*-上一段-カ行-連用形-一般
なく,助動詞-*-*-*-助動詞-ナイ-連用形-一般
たい,助動詞-*-*-*-助動詞-タイ-終止形-一般
身,名詞-普通名詞-一般-*-*-*
まだ,副詞-*-*-*-*-*
信実,名詞-普通名詞-一般-*-*-*
れる,助動詞-*-*-*-助動詞-レル-終止形-一般
わけ,名詞-普通名詞-一般-*-*-*
夢,名詞-普通名詞-一般-*-*-*
ない,形容詞-非自立可能-*-*-形容詞-終止形-一般
殴れ,動詞-一般-*-*-五段-ラ行-命令形
殴っ,動詞-一般-*-*-五段-ラ行-連用形-促音便
牧人,名詞-普通名詞-一般-*-*-*
羊,名詞-普通名詞-一般-*-*-*
きょう,名詞-普通名詞-副詞可能-*-*-*
里,名詞-普通名詞-助数詞可能-*-*-*
二人,名詞-普通名詞-副詞可能-*-*-*
花婿,名詞-普通名詞-一般-*-*-*
祝宴,名詞-普通名詞-一般-*-*-*
うち,名詞-普通名詞-副詞可能-*-*-*
様子,名詞-普通名詞-一般-*-*-*
既に,副詞-*-*-*-*-*
質問,名詞-普通名詞-サ変可能-*-*-*
老爺,名詞-普通名詞-一般-*-*-*
答え,動詞-一般-*-*-下一段-ア行-連用形-一般
様,接尾辞-名詞的-一般-*-*-*
者,名詞-普通名詞-一般-*-*-*
まし,助動詞-*-*-*-助動詞-マス-連用形-一般
彼,代名詞-*-*-*-*-*
さ,動詞-非自立可能-*-*-サ行変格-未然形-サ
顔,名詞-普通名詞-一般-*-*-*
言う,動詞-一般-*-*-五段-ワア行-終止形-一般
な,助詞-終助詞-*-*-*-*
って,助詞-副助詞-*-*-*-*
挙げ,動詞-非自立可能-*-*-下一段-ガ行-連用形-一般
よい,形容詞-非自立可能-*-*-形容詞-終止形-一般
し,動詞-非自立可能-*-*-サ行変格-未然形-一般
―,補助記号-一般-*-*-*-*
たい,助動詞-*-*-*-助動詞-タイ-連体形-一般
なら,助動詞-*-*-*-助動詞-ダ-仮定形-一般
笑っ,動詞-一般-*-*-五段-ワア行-連用形-促音便
信じ,動詞-一般-*-*-サ行変格-未然形-一般
やる,動詞-非自立可能-*-*-五段-ラ行-連体形-一般
なく,形容詞-非自立可能-*-*-形容詞-連用形-一般
高く,形容詞-一般-*-*-形容詞-連用形-一般
疲労,名詞-普通名詞-サ変可能-*-*-*
｜,補助記号-一般-*-*-*-*
頬,名詞-普通名詞-一般-*-*-*
眼,名詞-普通名詞-一般-*-*-*
覚め,動詞-一般-*-*-下一段-マ行-連用形-一般
仕度,名詞-普通名詞-サ変可能-*-*-*
だ,助動詞-*-*-*-助動詞-タ-連体形-一般
雨,名詞-普通名詞-一般-*-*-*
佳い,形容詞-非自立可能-*-*-形容詞-連体形-一般
ついに,副詞-*-*-*-*-*
頃,名詞-普通名詞-副詞可能-*-*-*
ほど,助詞-副助詞-*-*-*-*
ある,動詞-非自立可能-*-*-五段-ラ行-連体形-一般
他,名詞-普通名詞-副詞可能-*-*-*
つ,接尾辞-名詞的-助数詞-*-*-*
いや,感動詞-一般-*-*-*-*
如く,助動詞-*-*-*-文語助動詞-ゴトシ-連用形-一般
浪,名詞-普通名詞-一般-*-*-*
流れ,名詞-普通名詞-一般-*-*-*
愛,名詞-普通名詞-一般-*-*-*
力,名詞-普通名詞-一般-*-*-*
峠,名詞-普通名詞-一般-*-*-*
山賊,名詞-普通名詞-一般-*-*-*
沈ま,動詞-一般-*-*-五段-マ行-未然形-一般
命,名詞-普通名詞-一般-*-*-*
勇者,名詞-普通名詞-一般-*-*-*
一ぱい,副詞-*-*-*-*-*
刑場,名詞-普通名詞-一般-*-*-*
わから,動詞-一般-*-*-五段-ラ行-未然形-一般
野,名詞-普通名詞-一般-*-*-*
シラクス,名詞-固有名詞-地名-一般-*-*
やっ,動詞-非自立可能-*-*-五段-ラ行-連用形-促音便
花嫁,名詞-普通名詞-一般-*-*-*
石工,名詞-普通名詞-一般-*-*-*
まち,名詞-普通名詞-一般-*-*-*
思っ,動詞-一般-*-*-五段-ワア行-連用形-促音便
路,名詞-普通名詞-一般-*-*-*
からだ,名詞-普通名詞-一般-*-*-*
王様,名詞-普通名詞-一般-*-*-*
そんな,形状詞-一般-*-*-*-*
居り,動詞-非自立可能-*-*-五段-ラ行-連用形-一般
ませ,助動詞-*-*-*-助動詞-マス-未然形-一般
人質,名詞-普通名詞-一般-*-*-*
ひとり,名詞-普通名詞-副詞可能-*-*-*
